url,label,source
https://suite-t--rezor--com.webflow.io/,phishing,OpenPhish
https://dappshub-rectify.com/,phishing,OpenPhish
http://iwmaasdht.com/,phishing,OpenPhish
https://btinternethfvv.weebly.com/,phishing,OpenPhish
https://slotsjjj.com/,phishing,OpenPhish
https://stearncommunnity.com/activation=Dor5Fhnm5w,phishing,OpenPhish
https://httpsinstagram.github.io/.com/,phishing,OpenPhish
http://7142a6dd.zimbraserviceupdate.pages.dev/,phishing,OpenPhish
http://tinfrniwjf.com/,phishing,OpenPhish
https://leodgr--loginn.webflow.io/,phishing,OpenPhish
https://auth--tee-zorhelp.webflow.io/,phishing,OpenPhish
http://l-edger-startt.webflow.io/,phishing,OpenPhish
https://tresorwelot.webflow.io/,phishing,OpenPhish
http://ambil-resmi.pages.dev/,phishing,OpenPhish
http://danaaapaylattterrvfkj.ttxzss.my.id/,phishing,OpenPhish
https://shreyanshkapoor.github.io/Amazone-Clone,phishing,OpenPhish
https://coolchilly2112.github.io/Helpsupport,phishing,OpenPhish
https://support-validations-business-with-git-5c79fe-company-088581473.vercel.app/facebook.html/,phishing,OpenPhish
https://drogbatakug.vercel.app/managermentquan/M5wD9Rj3X7/F8tB2Qy1K0.html/,phishing,OpenPhish
https://tangledwebs.vercel.app/managermentquan/M5wD9Rj3X7/F8tB2Qy1K0.html/,phishing,OpenPhish
https://groupeweb.wpenginepowered.com/pass/info/,phishing,OpenPhish
http://xspingam.com/login,phishing,OpenPhish
http://xspingam.com/,phishing,OpenPhish
https://eikkaonline-jin41194v9.live-website.com/eikkaservices-1989018918/index5.html,phishing,OpenPhish
https://eikkaonline-jin41194v9.live-website.com/eikkaservices-1989018918/Bekreftelse.htm,phishing,OpenPhish
https://eikkaonline-jin41194v9.live-website.com/eikkaservices-1989018918/Bekreftelsee.htm,phishing,OpenPhish
https://eikkaonline-jin41194v9.live-website.com/eikkaservices-1989018918/index3.html,phishing,OpenPhish
https://includingv2.vercel.app/newcontact.html,phishing,OpenPhish
http://933sqwq.sbs/,phishing,OpenPhish
https://public-app-ndax-io--cdn-x-view.webflow.io/,phishing,OpenPhish
https://agricacolombia.com.co/wp-lncludes/,phishing,OpenPhish
http://device-info.za.com/tm7,phishing,OpenPhish
https://samuels-id7993-g3if.vercel.app/notification/metaplatforms.html,phishing,OpenPhish
https://juno-update-service-224c7c.webflow.io/,phishing,OpenPhish
https://submit-verification-documents-5-maz4.vercel.app/violate/page.html,phishing,OpenPhish
https://kajdjvk.blogspot.tw/,phishing,OpenPhish
https://s083973789739768376789877366p25.laviewddns.com/aruba/?token=#5,phishing,OpenPhish
https://submit-verification-documents-10-yo2y.vercel.app/violate/page.html,phishing,OpenPhish
http://ccbaseprologig.gitbook.io/,phishing,OpenPhish
http://www.qcdsk.top/,phishing,OpenPhish
https://submit-verification-documents-2-p9wo.vercel.app/violate/page.html,phishing,OpenPhish
https://submit-verification-documents-5-maz4.vercel.app/violate/appeal.html,phishing,OpenPhish
https://submit-verification-documents-2-p9wo.vercel.app/violate/appeal.html,phishing,OpenPhish
https://steamncommnuity.com/mirage,phishing,OpenPhish
https://potatoswap-frontend.vercel.app/prediction,phishing,OpenPhish
https://babybrands.ca/wp-content/themes/kidsa-child-theme/aawp/products/index.htm,phishing,OpenPhish
https://ms-sharepoint453535352342346534235243254.pages.dev/index-2tuka?1.b8b4pgzmvk=*@,phishing,OpenPhish
http://rk.batrade.site/,phishing,OpenPhish
http://knpsvnpqdi.duckdns.org/en/,phishing,OpenPhish
https://meta-170.vercel.app/contactsp/users/advertisings.html,phishing,OpenPhish
https://dpd.pacoteb.cyou/pt,phishing,OpenPhish
https://www.colombialatamviaja.store.latamviajescol.shop/,phishing,OpenPhish
https://colombialatamviaja.store/,phishing,OpenPhish
https://submit-verification-documents-2-9c1i.vercel.app/violate/page.html,phishing,OpenPhish
https://www.aktivasi-dana-paylater.systim.web.id.51-79-175-155.cpanel.site/,phishing,OpenPhish
https://tavolaroconstrutora.com.br/date/Forwarder%20SHIPMENT_AWB.html,phishing,OpenPhish
https://gew2f333.blogspot.co.at/?m=1,phishing,OpenPhish
https://metareport-id27799-qh71.vercel.app/messmeta-hotadvsup.html,phishing,OpenPhish
https://submit-verification-documents-2-9c1i.vercel.app/violate/appeal.html,phishing,OpenPhish
http://terzzcar-apps.webflow.io/,phishing,OpenPhish
https://q.lineix.me/,phishing,OpenPhish
https://batalkanpembayarann.com/,phishing,OpenPhish
https://trusted-verification-service-m10-fc11.vercel.app/violate/page.html,phishing,OpenPhish
https://procoinnbasewlogin.webflow.io/,phishing,OpenPhish
https://movieusbill.com/,phishing,OpenPhish
https://denisse-id7985-5epw.vercel.app/notification/metaplatforms.html,phishing,OpenPhish
https://submit-verification-documents-3-wwdy.vercel.app/violate/appeal.html,phishing,OpenPhish
https://submit-verification-documents-3-wwdy.vercel.app/violate/page.html,phishing,OpenPhish
https://learn-docse-trezor.webflow.io/,phishing,OpenPhish
https://hellp-lwedgersupportt.webflow.io/,phishing,OpenPhish
https://uncertainpath-six.vercel.app/managermentquan/vJ4q7Zb8P1.html,phishing,OpenPhish
https://portal-nav-ndaxio--x-cdn-oauth.webflow.io/,phishing,OpenPhish
http://opensea-nft13-zeta.vercel.app/,phishing,OpenPhish
http://openseaspro-mint6.vercel.app/,phishing,OpenPhish
http://www.welshop.store/smts/pdw/,phishing,OpenPhish
https://samuels-id7993-pcsb.vercel.app/notification/questmeta.html,phishing,OpenPhish
https://gutifaiy.top/,phishing,OpenPhish
https://0zhe.com/,phishing,OpenPhish
https://ledger--en-usdocs-support.webflow.io/,phishing,OpenPhish
https://blentovax.vercel.app/managermenttruc/a9Kf7LtW4bQ2xDmYvR6Z.html,phishing,OpenPhish
